requirement_id,requirement_text,mandatory,weight,owner,status,coverage,evidence_source,confidence,notes
REQ-NSW-001,"WCAG 2.1 AA compliance for public content",Yes,8,UX,In Progress,Partial,"nsw_standards.md#accessibility; technical_approach.md#accessibility",0.7,"Manual testing planned"
REQ-NSW-002,"DR RTO<=4h, RPO<=1h for CMS platform",Yes,7,SRE,Planned,Gap,"technical_approach.md#dr; project_plan.md",0.5,"Confirm cross-region backups"
REQ-NSW-003,"Zero-trust access with SSO (NSW Identity/OIDC) and RBAC",Yes,7,Platform,In Progress,Partial,"technical_approach.md#security",0.6,"Integrate with NSW IdP"
REQ-NSW-004,"All content and backups stored in Australia",Yes,9,Security,In Progress,Partial,"nsw_standards.md#data-residency",0.8,"Verify vendor regions"
REQ-NSW-005,"Migration plan with content audit, redirects, and QA",Yes,8,Delivery,In Progress,Partial,"project_plan.md#migration",0.7,"Legacy export access pending"
REQ-NSW-006,"Performance: p95 render < 500ms under 500 RPS",No,5,Engineering,Planned,Gap,"technical_approach.md#performance",0.4,"Load test design WIP"
REQ-NSW-007,"Monthly SLA reporting: uptime, latency, incidents",No,3,Service,Planned,Gap,"project_plan.md#service",0.4,"Define SLA dashboard"
REQ-NSW-008,"Records retention aligned to NSW policy",Yes,8,Legal,Planned,Gap,"nsw_standards.md#records",0.5,"Map retention schedule"
REQ-NSW-009,"Security testing (SAST/DAST) in CI/CD",No,4,DevSecOps,In Progress,Partial,"technical_approach.md#security-testing",0.6,"Tool selection"
REQ-NSW-010,"Accessibility testing with automated and manual checks",Yes,6,UX,In Progress,Partial,"technical_approach.md#accessibility",0.6,"Vendor shortlist"
REQ-NSW-011,"API-first CMS design with content APIs for downstream",No,4,Engineering,In Progress,Partial,"technical_approach.md#api-first",0.7,"OpenAPI draft"
REQ-NSW-012,"Training and handover materials for CMS editors",No,3,Change,Planned,Gap,"project_plan.md#training",0.5,"Outline ready"
REQ-NSW-013,"Comply with page limits and formatting rules in response",Yes,3,QA,In Progress,Partial,"outline.md",0.9,"Preflight checks"
REQ-NSW-014,"Provide 3 relevant government case studies",No,4,BD,In Progress,Partial,"research_notes.md#case-studies",0.7,"Identify NSW examples"
REQ-NSW-015,"Provide SOC 2 Type II or equivalent controls evidence",Yes,10,Security,Planned,Gap,"security_and_compliance.md",0.5,"Gather reports"
