requirement_id,requirement_text,mandatory,weight,owner,status,coverage,evidence_source,confidence,notes
REQ-001,"Provide SOC 2 Type II report",Yes,10,Security,Unassigned,Not Started,,,
REQ-002,"Response font must be 12pt",Yes,3,QA,Unassigned,Not Started,,,
REQ-003,"Describe project management methodology",No,5,PMO,Unassigned,Not Started,,,
REQ-004,"WCAG 2.1 AA accessibility compliance for public-facing content",Yes,8,UX,Unassigned,Not Started,,,
REQ-005,"ISO 27001-aligned ISMS policy and controls",No,6,Security,Unassigned,Not Started,,,
REQ-006,"Disaster Recovery RTO<=4h, RPO<=1h for CMS",Yes,7,SRE,Unassigned,Not Started,,,
REQ-007,"Zero-trust access with SSO (OIDC) and RBAC",Yes,7,Platform,Unassigned,Not Started,,,
REQ-008,"Data residency within Australia for all content and backups",Yes,9,Security,Unassigned,Not Started,,,
REQ-009,"Provide three relevant public sector case studies",No,4,BD,Unassigned,Not Started,,,
REQ-010,"Detailed migration plan from legacy CMS including content audit",Yes,8,Delivery,Unassigned,Not Started,,,
REQ-011,"Performance: p95 page render < 500ms under 500 RPS",No,5,Engineering,Unassigned,Not Started,,,
REQ-012,"Continuous delivery pipeline with test automation coverage >= 70%",No,4,DevOps,Unassigned,Not Started,,,
REQ-013,"Information retention in line with agency records policy",Yes,8,Legal,Unassigned,Not Started,,,
REQ-014,"Monthly service reporting on SLAs and KPIs",No,3,Service,Unassigned,Not Started,,,
REQ-015,"Comply with page limits and formatting rules in submission",Yes,3,QA,Unassigned,Not Started,,,
